EpisodeNumber,FinalReward
0,[-0.99880695]
1,[0.5968007]
2,[-0.99880695]
3,[-0.99920696]
4,[-0.99960697]
5,[-0.99880695]
6,[-0.99920696]
7,[-0.99960697]
8,[-0.99880695]
9,[0.40759993]
10,[0.64080036]
11,[-0.99920696]
12,[0.6268004]
13,[-0.99880695]
14,[-0.99920696]
15,[-0.99960697]
16,[-0.99880695]
17,[-0.99920696]
18,[-0.99960697]
19,[-0.99880695]
20,[0.8339999]
21,[-0.99920696]
22,[-0.99960697]
23,[-0.99880695]
24,[-0.99920696]
25,[-0.99960697]
26,[0.6000007]
27,[0.11999506]
28,[-0.99920696]
29,[-0.99960697]
30,[-0.99880695]
31,[-0.99920696]
32,[-0.99960697]
33,[-0.99880695]
34,[-0.99920696]
35,[0.49920148]
36,[-0.99920696]
37,[-0.99960697]
38,[0.29679805]
39,[-0.99880695]
40,[-0.99920696]
41,[-0.99960697]
42,[0.6808]
43,[-0.99880695]
44,[-0.99920696]
45,[0.55400103]
46,[0.552801]
47,[0.71439976]
48,[-0.99880695]
49,[-0.99920696]
50,[-0.99960697]
51,[-0.99880695]
52,[-0.99920696]
53,[-0.99960697]
54,[-0.99880695]
55,[0.05679399]
56,[0.1287952]
57,[-0.99880695]
58,[-0.99920696]
59,[-0.99960697]
60,[-0.99880695]
61,[-0.99920696]
62,[0.5120014]
63,[-0.99960697]
64,[-0.99880695]
65,[-0.99920696]
66,[-0.99960697]
67,[0.76199955]
68,[-0.99920696]
69,[0.10159475]
70,[-0.99960697]
71,[-0.99880695]
72,[-0.99920696]
73,[-0.99960697]
74,[-0.99880695]
75,[-0.99920696]
76,[0.2819978]
77,[-0.99920696]
78,[-0.99960697]
79,[-0.99880695]
80,[-0.99920696]
81,[-0.99960697]
82,[-0.99880695]
83,[0.7351996]
84,[-0.99960697]
85,[-0.99880695]
86,[-0.99920696]
87,[-0.99960697]
88,[-0.99880695]
89,[0.35679907]
90,[0.6036006]
91,[0.48640126]
92,[0.30279815]
93,[-0.99880695]
94,[-0.99920696]
95,[-0.99960697]
96,[-0.99880695]
97,[-0.99920696]
98,[-0.99960697]
99,[0.7803996]
