episode,finalReward
01-01-02.yaml,[0.9846]
01-01-03.yaml,[0.9886]
01-02-01.yaml,[0.8062]
01-02-02.yaml,[0.8062]
01-02-03.yaml,[0.6261996]
01-03-01.yaml,[0.80300003]
01-03-02.yaml,[0.56459934]
01-03-03.yaml,[0.3598001]
01-04-01.yaml,[0.9206]
01-04-02.yaml,[0.6133995]
01-04-03.yaml,[0.46299928]
01-05-01.yaml,[0.80700004]
01-05-02.yaml,[0.17180157]
01-05-03.yaml,[0.28140074]
01-06-01.yaml,[2.7946]
01-06-02.yaml,[2.7986]
01-06-03.yaml,[2.9194]
01-07-01.yaml,[4.9422]
01-07-02.yaml,[4.7925997]
01-07-03.yaml,[4.9182]
01-08-01.yaml,[0.31550002]
01-08-02.yaml,[0.3179]
01-08-03.yaml,[0.4563]
01-09-01.yaml,[0.79340005]
01-09-02.yaml,[0.78940004]
01-09-03.yaml,[0.4837991]
01-10-01.yaml,[4.9422]
01-10-02.yaml,[4.7990003]
01-10-03.yaml,[4.9245996]
01-11-01.yaml,[0.31550002]
01-11-02.yaml,[0.3179]
01-11-03.yaml,[0.4563]
01-12-01.yaml,[4.8374]
01-12-02.yaml,[4.8717995]
01-12-03.yaml,[4.827]
01-13-01.yaml,[0.28940064]
01-13-02.yaml,[0.8773999]
01-13-03.yaml,[-0.9975971]
01-14-01.yaml,[-0.9975971]
01-14-02.yaml,[0.37709993]
01-14-03.yaml,[-0.9975971]
01-15-01.yaml,[0.16220164]
01-15-02.yaml,[0.8773999]
01-15-03.yaml,[-0.9975971]
01-16-01.yaml,[-0.03330076]
01-16-02.yaml,[0.01469907]
01-16-03.yaml,[0.18829986]
01-17-01.yaml,[-0.03330076]
01-17-02.yaml,[0.01469907]
01-17-03.yaml,[0.18829986]
01-18-01.yaml,[0.8254]
01-18-02.yaml,[0.69739985]
01-18-03.yaml,[0.6533997]
01-19-01.yaml,[0.7126]
01-19-02.yaml,[0.7614001]
01-19-03.yaml,[0.7478001]
01-20-01.yaml,[4.3238087]
01-20-02.yaml,[4.3238087]
01-20-03.yaml,[4.3238087]
01-21-01.yaml,[9.390428]
01-21-02.yaml,[9.390428]
