User,L1.6.2,L1.21.1,L1.4.3,L1.23.1,L2.10.1,L2.17.1,L2.29.1,L2.2.1,L3.9.1,L3.11.1,L3.21.1,L3.18.1,L4.3.1,L4.16.1,L4.13.1,L4.22.1,L5.15.1,L5.9.1,L5.24.1,L5.26.1,L6.11.1,L6.29.2,L6.9.1,L6.12.2,L7.16.1,L7.17.1,L7.22.1,L7.25.1,L8.3.3,L8.19.1,L8.30.1,L8.11.1,L9.21.1,L9.24.1,L9.8.1,L9.3.1,L10.16.1,L10.21.1,L10.7.1,L10.22.3,P1.6.2,P1.21.1,P1.4.3,P1.23.1,P2.10.1,P2.17.1,P2.29.1,P2.2.1,P3.9.1,P3.11.1,P3.21.1,P3.18.1,P4.3.1,P4.16.1,P4.13.1,P4.22.1,P5.15.1,P5.9.1,P5.24.1,P5.26.1,P6.11.1,P6.29.2,P6.9.1,P6.12.2,P7.16.1,P7.17.1,P7.22.1,P7.25.1,P8.3.3,P8.19.1,P8.30.1,P8.11.1,P9.21.1,P9.24.1,P9.8.1,P9.3.1,P10.16.1,P10.21.1,P10.7.1,P10.22.3
PT-mja-002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,2.515668631,-1.000011683,-1.000006437,0.99800688,-1.000006437,-1.000006437,-0.001006409,-1.000006437,-1.000006437,-1.000006437,-1.000011683,-1.000011683,-1.000006437,-3.159995079,-1.000006437,-1.000006437,-1.000011683,-1.000006437,-0.001006409,0.998030901,-1.000006437,-1.000006437,-1.000006437,-1.000006437,-1.000006437,-1.582671165,-1.000011683,-1.000011683,-1.000006437,-0.833342195,-0.001333333,-0.002666667,NA,-0.002666667,-0.002666667,-0.002666667,NA,NA,NA,-0.001333333
TU-alk-354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1.000006437,-1.000011683,-1.000006437,1.99702549,-1.000006437,-1.000006437,0.998050392,-1.000006437,-1.000006437,-1.000006437,-1.000011683,-1.000011683,-1.455998302,-1.000006437,-1.650667191,-1.058666706,-1.000011683,-1.000006437,-1.000011683,2.996043444,-1.000006437,-1.000006437,0.565668344,0.025660716,-1.185333014,-1.023333311,-1.000011683,-1.000011683,-1.000006437,-1.155999422,-1.082666516,1.615334749,-1.000006437,-1.000006437,0.997991562,0.997993588,-1.447335601,-1.000011683,-1.852009058,-1.000011683
TU-aql-76,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,2.738334179,9.198043823,0.759000599,9.144055367,0.665667772,1.876666665,0.743667603,0.876333296,0.736334085,0.60833478,0.713667095,1.668666363,-1.136000037,3.745666504,0.688334346,0.611001372,0.06565614,0.612334728,3.548017025,5.601027012,0.397667021,0.388333529,0.684334338,0.49900201,-1.096000075,-1.095333099,0.610332012,0.998060763,0.997993588,-1.092666507,-1.192665935,-1.000006437,4.994031429,4.994035244,2.996026993,10.9880476,0.406328559,0.046989154,0.614998758,0.292326629
TU-bbl-70,1,0,1,0,0,1,0,1,0,0,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,NA,2.473001719,0.998009741,0.597668171,1.997020245,-1.000006437,1.434000969,0.384994864,0.520335197,-1.000006437,-1.000006437,NA,-0.001333333,NA,NA,-0.002666667,-0.002666667,-1.000011683,-1.000006437,-0.001010566,1.997010231,-1.000006437,-1.000006437,-1.000006437,-1.000006437,-1.000006437,0.266992867,0.209658578,-1.000011683,-1.000006437,-1.171332717,1.039322376,-1.000006437,-1.000006437,2.996002197,-1.000006437,-1.000006437,-1.783341289,-0.989344835,-0.001333333,NA
TU-bdz-351,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,NA,0,2.64900136,6.992047787,0.740334034,9.018716812,0.572334945,0.60833478,2.488330603,0.473668307,0.340332717,0.266998142,0.63366574,1.072656393,-1.447998285,2.067006826,0.188330144,0.543001771,-1.000011683,-1.000006437,3.219370604,5.358374119,0.122995697,0.118995629,0.281665057,0.350999564,-1.443998337,-1.150666118,0.609665334,2.683001995,0.997993588,1.44799602,-1.249998927,1.265998125,2.996043921,2.996001959,0.997993588,10.98804474,-1.312666655,-1.000011683,NA,-1.000011683
TU-bns-120,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,2.739667416,6.992048264,0.613668084,9.237377167,0.699000955,1.870000005,2.511012316,0.843000174,0.733667374,0.71100086,0.711667061,1.711333752,-1.469331503,3.676333189,0.633667946,0.729667425,0.464329541,0.684334338,3.40468955,5.582360268,0.585668206,0.480335087,0.757667303,0.545668423,0.5123353,-1.105999708,0.597665131,0.998053372,0.99799192,1.726667404,1.782667518,1.539335132,4.994039059,4.994042397,2.996044397,8.990041733,-1.131999612,0.220325425,-1.126666307,0.23499234
TU-bre-51,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,NA,0,0,0,0,1,0,0,1,0,0,0,0,0,-1.000006437,4.994041443,0.289665192,3.99505043,-1.913671613,1.602001429,1.414662123,0.50566864,0.173663229,0.108328782,0.350994289,-1.000011683,-1.000006437,0.336353213,-1.230666161,-1.198666334,-1.000011683,0.134995908,3.082711935,5.021729946,-1.000006437,-1.000006437,0.568334937,-1.000006437,0.085661732,0.258326054,NA,0.998045862,-1.000006437,-1.608005047,-1.102666378,1.035327554,-1.000006437,-1.000006437,2.996021271,4.994019508,-1.556670785,-1.000011683,-1.166666031,-1.000011683
TU-bza-91,1,1,1,0,1,1,1,1,1,1,NA,NA,0,NA,NA,NA,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,2.246331215,9.003388405,0.541668415,7.991060257,0.688334346,1.691334367,2.577668428,0.799000382,0.501668692,0.101662003,NA,NA,-1.000006437,NA,NA,NA,-1.000011683,0.540335119,3.504683495,5.44703722,0.344332784,0.340332717,0.332332581,0.356332988,0.273664922,0.550330997,0.606331944,0.998053133,0.997993588,-1.949344158,-0.466669321,1.490001917,2.996049881,2.996005774,3.278677225,10.98804855,-1.492669702,-0.341333866,-1.777341127,-1.000011683
TU-csb-89,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,2.659667969,9.082720757,0.721667469,-0.078667149,0.773667216,0.865666687,2.575668097,0.821666956,0.71766746,0.704334259,0.731000721,1.7613343,0.066994749,3.388333082,0.552335024,0.624334693,0.209658578,0.68700099,3.526685715,5.558362961,0.318999022,0.473668307,0.537668467,0.56033504,-1.055999994,-1.150666118,0.614998758,0.998046577,0.997992396,-1.079999924,-1.073333263,1.618001342,2.996056795,0.997990727,2.996044397,10.98805237,-1.388001204,-1.000011683,-1.134666204,0.069656208
TU-ctk-162,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.000006437,-1.000011683,-1.000006437,-1.000011683,-1.000006437,-1.000006437,0.151657596,0.288331836,-1.000006437,-1.000006437,-1.000011683,-1.000011683,-1.194666266,-1.000006437,-1.000006437,-1.000006437,-1.000011683,-1.000006437,-1.000011683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
