Agent,episode,finalReward
Thursday,10-10-01,-1.279999955
Thursday,10-10-02,-1.195999842
Thursday,10-10-03,-1.07799985
Thursday,10-01-01,-1.129999965
Thursday,10-11-01,-1.05799997
Thursday,10-11-02,-1.109999967
Thursday,10-11-03,-1.077999969
Thursday,10-01-02,-1.153999845
Thursday,10-12-01,-1.149999964
Thursday,10-12-02,-1.111999967
Thursday,10-12-03,-1.089999849
Thursday,10-01-03,-1.78199992
Thursday,10-13-01,-1.06199997
Thursday,10-13-02,-1.115999847
Thursday,10-13-03,-1.423999945
Thursday,10-14-01,-1.075999969
Thursday,10-14-02,-1.115999966
Thursday,10-14-03,-1.07999985
Thursday,10-15-01,-1.06799985
Thursday,10-15-02,-1.109999967
Thursday,10-15-03,-1.07199985
Thursday,10-16-01,-1.135999965
Thursday,10-16-02,-1.109999967
Thursday,10-16-03,-1.51199982
Thursday,10-17-01,-1.131999846
Thursday,10-17-02,-1.119999966
Thursday,10-17-03,-1.07999985
Thursday,10-18-01,-1.05999997
Thursday,10-18-02,-1.449999943
Thursday,10-18-03,-1.07199985
Thursday,10-19-01,-0.999999931
Thursday,10-19-02,-0.999999931
Thursday,10-19-03,-0.999999931
Thursday,10-20-01,-0.999999931
Thursday,10-20-02,-0.999999931
Thursday,10-20-03,-0.999999931
Thursday,10-02-01,-1.237999958
Thursday,10-21-01,-0.999999931
Thursday,10-21-02,-0.999999931
Thursday,10-21-03,-0.999999931
Thursday,10-02-02,-1.255999838
Thursday,10-22-01,-0.999999931
Thursday,10-22-02,-0.999999931
Thursday,10-22-03,-0.999999931
Thursday,10-02-03,-1.231999958
Thursday,10-23-01,-0.999999931
Thursday,10-23-02,-0.999999931
Thursday,10-23-03,-0.999999931
Thursday,10-24-01,-0.999999931
Thursday,10-24-02,-0.999999931
Thursday,10-24-03,-0.999999931
Thursday,10-25-01,-0.999999931
Thursday,10-25-02,-0.999999931
Thursday,10-25-03,-0.999999931
Thursday,10-26-01,-0.999999931
Thursday,10-26-02,-0.999999931
Thursday,10-26-03,-0.999999931
Thursday,10-27-01,-0.999999931
Thursday,10-27-02,-0.999999931
Thursday,10-27-03,-0.999999931
Thursday,10-28-01,-0.999999931
Thursday,10-28-02,-1.231999958
Thursday,10-28-03,-0.999999931
Thursday,10-29-01,-1.087999968
Thursday,10-29-02,-1.273999956
Thursday,10-29-03,-1.305999834
Thursday,10-30-01,-1.319999952
Thursday,10-30-02,-0.999999931
Thursday,10-30-03,-0.999999931
Thursday,10-03-01,-1.087999968
Thursday,10-03-02,-1.135999965
Thursday,10-03-03,-1.089999849
Thursday,10-04-01,-1.087999968
Thursday,10-04-02,-1.539999937
Thursday,10-04-03,-1.487999822
Thursday,10-05-01,-1.087999968
Thursday,10-05-02,-1.031999972
Thursday,10-05-03,-1.091999849
Thursday,10-06-01,-0.999999931
Thursday,10-06-02,-0.999999931
Thursday,10-06-03,-0.999999931
Thursday,10-07-01,-1.139999965
Thursday,10-07-02,-1.115999966
Thursday,10-07-03,-1.079999969
Thursday,10-08-01,-1.131999965
Thursday,10-08-02,-1.107999967
Thursday,10-08-03,-1.101999848
Thursday,10-09-01,-1.121999966
Thursday,10-09-02,-1.113999847
Thursday,10-09-03,-1.07599985
Thursday,01-10-01,-0.999999931
Thursday,01-10-02,4.515000208
Thursday,01-10-03,-0.999999931
Thursday,01-01-01,0.978999946
Thursday,01-11-01,-0.999999931
Thursday,01-11-02,-0.999999931
Thursday,01-11-03,-0.999999931
Thursday,01-01-02,0.975000006
Thursday,01-12-01,4.687000196
Thursday,01-12-02,4.659000198
Thursday,01-12-03,4.735000193
Thursday,01-01-03,0.978999946
Thursday,01-13-01,0.427000044
Thursday,01-13-02,-0.999999931
Thursday,01-13-03,0.603000032
Thursday,01-14-01,-0.999999931
Thursday,01-14-02,-0.999999931
Thursday,01-14-03,-0.999999931
Thursday,01-15-01,0.331000051
Thursday,01-15-02,-0.999999931
Thursday,01-15-03,0.626999971
Thursday,01-16-01,-0.999999931
Thursday,01-16-02,-0.999999931
