EpisodeNumber,FinalReward
0,[18.001217]
1,[18.521126]
2,[18.08852]
3,[18.196812]
4,[18.329845]
5,[18.418806]
6,[18.118198]
7,[18.579351]
8,[18.13376]
9,[17.996954]
10,[18.568142]
11,[18.297443]
12,[17.788122]
13,[17.79039]
14,[18.416595]
15,[18.210194]
16,[17.733545]
17,[18.40584]
18,[18.522312]
19,[15.186626]
20,[18.603113]
21,[15.143798]
22,[17.836199]
23,[18.49939]
24,[15.722196]
25,[17.507475]
26,[18.394974]
27,[18.039682]
28,[18.330925]
29,[18.65651]
30,[18.06582]
31,[18.470577]
32,[18.38942]
33,[17.225454]
34,[17.965841]
35,[18.164078]
36,[18.581375]
37,[17.876926]
38,[17.622469]
39,[18.351934]
40,[17.613981]
41,[18.509048]
42,[18.696558]
43,[18.317804]
44,[18.620552]
45,[18.288382]
46,[18.488]
47,[17.444563]
48,[18.251133]
49,[18.631315]
50,[17.902452]
51,[18.02517]
52,[18.48197]
53,[18.023216]
54,[18.404636]
55,[14.97576]
56,[17.926311]
57,[17.8043]
58,[18.10715]
59,[18.435593]
60,[18.501766]
61,[17.915619]
62,[13.516523]
63,[18.227829]
64,[17.645504]
65,[18.25496]
66,[18.313913]
67,[18.647766]
68,[17.839195]
69,[18.078857]
70,[17.724455]
71,[17.955095]
72,[18.392466]
73,[18.528328]
74,[18.756111]
75,[17.913662]
76,[18.587343]
77,[18.594236]
78,[18.6389]
79,[18.465424]
80,[18.063726]
81,[18.448215]
82,[18.494928]
83,[18.230745]
84,[18.306778]
85,[18.122341]
86,[18.667385]
87,[18.207754]
88,[18.268957]
89,[18.421633]
90,[18.034512]
91,[15.284934]
92,[18.205303]
93,[18.579744]
94,[18.2862]
95,[18.090658]
96,[18.420767]
97,[17.780413]
98,[18.126215]
99,[18.11263]
