"Step"," PPO (default), levels 1-10, aai_timescale=300, 5M time steps - rollout/ep_rew_mean"," PPO (default), levels 1-10, aai_timescale=300, 5M time steps - rollout/ep_rew_mean__MIN"," PPO (default), levels 1-10, aai_timescale=300, 5M time steps - rollout/ep_rew_mean__MAX","PPO (default), levels 1-10, aai_timescale=300, 2M time steps - rollout/ep_rew_mean","PPO (default), levels 1-10, aai_timescale=300, 2M time steps - rollout/ep_rew_mean__MIN","PPO (default), levels 1-10, aai_timescale=300, 2M time steps - rollout/ep_rew_mean__MAX","PPO (default), levels 1-9, aai_timescale=300, 2M time steps - rollout/ep_rew_mean","PPO (default), levels 1-9, aai_timescale=300, 2M time steps - rollout/ep_rew_mean__MIN","PPO (default), levels 1-9, aai_timescale=300, 2M time steps - rollout/ep_rew_mean__MAX","PPO (default), levels 1-8, aai_timescale=300, 2M time steps - rollout/ep_rew_mean","PPO (default), levels 1-8, aai_timescale=300, 2M time steps - rollout/ep_rew_mean__MIN","PPO (default), levels 1-8, aai_timescale=300, 2M time steps - rollout/ep_rew_mean__MAX","PPO (default), levels 1-7, aai_timescale=300, 2M time steps - rollout/ep_rew_mean","PPO (default), levels 1-7, aai_timescale=300, 2M time steps - rollout/ep_rew_mean__MIN","PPO (default), levels 1-7, aai_timescale=300, 2M time steps - rollout/ep_rew_mean__MAX","PPO (default), levels 1-6, aai_timescale=300, 2M time steps - rollout/ep_rew_mean","PPO (default), levels 1-6, aai_timescale=300, 2M time steps - rollout/ep_rew_mean__MIN","PPO (default), levels 1-6, aai_timescale=300, 2M time steps - rollout/ep_rew_mean__MAX","PPO (default), levels 1-5, aai_timescale=300, 2M time steps - rollout/ep_rew_mean","PPO (default), levels 1-5, aai_timescale=300, 2M time steps - rollout/ep_rew_mean__MIN","PPO (default), levels 1-5, aai_timescale=300, 2M time steps - rollout/ep_rew_mean__MAX","PPO (default), levels 1-4, aai_timescale=300, 2M time steps - rollout/ep_rew_mean","PPO (default), levels 1-4, aai_timescale=300, 2M time steps - rollout/ep_rew_mean__MIN","PPO (default), levels 1-4, aai_timescale=300, 2M time steps - rollout/ep_rew_mean__MAX","PPO (default), levels 1-3, aai_timescale=300, 2M time steps - rollout/ep_rew_mean","PPO (default), levels 1-3, aai_timescale=300, 2M time steps - rollout/ep_rew_mean__MIN","PPO (default), levels 1-3, aai_timescale=300, 2M time steps - rollout/ep_rew_mean__MAX","PPO (default), levels 1-2, aai_timescale=300, 2M time steps - rollout/ep_rew_mean","PPO (default), levels 1-2, aai_timescale=300, 2M time steps - rollout/ep_rew_mean__MIN","PPO (default), levels 1-2, aai_timescale=300, 2M time steps - rollout/ep_rew_mean__MAX","PPO (default), level 1, aai_timescale=300, 2M time steps - rollout/ep_rew_mean","PPO (default), level 1, aai_timescale=300, 2M time steps - rollout/ep_rew_mean__MIN","PPO (default), level 1, aai_timescale=300, 2M time steps - rollout/ep_rew_mean__MAX"
"0","-0.9409700036048889","-0.9409700036048889","-0.9409700036048889","-1.0280179977416992","-1.0280179977416992","-1.0280179977416992","-0.5709120035171509","-0.5709120035171509","-0.5709120035171509","-0.5084419846534729","-0.5084419846534729","-0.5084419846534729","-0.5936959981918335","-0.5936959981918335","-0.5936959981918335","0.45002803206443787","0.45002803206443787","0.45002803206443787","-0.5825660228729248","-0.5825660228729248","-0.5825660228729248","0.44420498609542847","0.44420498609542847","0.44420498609542847","2.3720240592956543","2.3720240592956543","2.3720240592956543","0.6764619946479797","0.6764619946479797","0.6764619946479797","-1.0355600118637085","-1.0355600118637085","-1.0355600118637085"
"1","-0.9512439966201782","-0.9512439966201782","-0.9512439966201782","-1.0280259847640991","-1.0280259847640991","-1.0280259847640991","-0.5690779685974121","-0.5690779685974121","-0.5690779685974121","-0.5084419846534729","-0.5084419846534729","-0.5084419846534729","-0.6324260234832764","-0.6324260234832764","-0.6324260234832764","0.4394320547580719","0.4394320547580719","0.4394320547580719","-0.5693539977073669","-0.5693539977073669","-0.5693539977073669","0.40989500284194946","0.40989500284194946","0.40989500284194946","2.4105780124664307","2.4105780124664307","2.4105780124664307","0.8298630118370056","0.8298630118370056","0.8298630118370056","-1.0355600118637085","-1.0355600118637085","-1.0355600118637085"
"2","-0.9490699768066406","-0.9490699768066406","-0.9490699768066406","-1.028033971786499","-1.028033971786499","-1.028033971786499","-0.4275439977645874","-0.4275439977645874","-0.4275439977645874","-0.44450199604034424","-0.44450199604034424","-0.44450199604034424","-0.6324300169944763","-0.6324300169944763","-0.6324300169944763","0.47822803258895874","0.47822803258895874","0.47822803258895874","-0.5693539977073669","-0.5693539977073669","-0.5693539977073669","0.2805970013141632","0.2805970013141632","0.2805970013141632","1.9894781112670898","1.9894781112670898","1.9894781112670898","0.8298630118370056","0.8298630118370056","0.8298630118370056","-0.8612444400787354","-0.8612444400787354","-0.8612444400787354"
"3","-0.9490659832954407","-0.9490659832954407","-0.9490659832954407","-1.028041958808899","-1.028041958808899","-1.028041958808899","-0.4470359981060028","-0.4470359981060028","-0.4470359981060028","-0.43690598011016846","-0.43690598011016846","-0.43690598011016846","-0.6323980093002319","-0.6323980093002319","-0.6323980093002319","0.03297802060842514","0.03297802060842514","0.03297802060842514","-0.6418520212173462","-0.6418520212173462","-0.6418520212173462","0.2511630058288574","0.2511630058288574","0.2511630058288574","1.9785560369491577","1.9785560369491577","1.9785560369491577","1.03746497631073","1.03746497631073","1.03746497631073","-0.9105428457260132","-0.9105428457260132","-0.9105428457260132"
"4","-0.969353973865509","-0.969353973865509","-0.969353973865509","-1.028041958808899","-1.028041958808899","-1.028041958808899","-0.3593759834766388","-0.3593759834766388","-0.3593759834766388","-0.41600197553634644","-0.41600197553634644","-0.41600197553634644","-0.5966619849205017","-0.5966619849205017","-0.5966619849205017","0.1421860158443451","0.1421860158443451","0.1421860158443451","-0.6418520212173462","-0.6418520212173462","-0.6418520212173462","0.15252000093460083","0.15252000093460083","0.15252000093460083","1.9455360174179077","1.9455360174179077","1.9455360174179077","1.0632760524749756","1.0632760524749756","1.0632760524749756","-0.9216750264167786","-0.9216750264167786","-0.9216750264167786"
"5","-0.9692339897155762","-0.9692339897155762","-0.9692339897155762","-1.0340499877929688","-1.0340499877929688","-1.0340499877929688","-0.34429797530174255","-0.34429797530174255","-0.34429797530174255","-0.4547019898891449","-0.4547019898891449","-0.4547019898891449","-0.6367539763450623","-0.6367539763450623","-0.6367539763450623","0.19227202236652374","0.19227202236652374","0.19227202236652374","-0.6615539789199829","-0.6615539789199829","-0.6615539789199829","0.1365640014410019","0.1365640014410019","0.1365640014410019","1.9588021039962769","1.9588021039962769","1.9588021039962769","1.006074070930481","1.006074070930481","1.006074070930481","-0.8875499963760376","-0.8875499963760376","-0.8875499963760376"
"6","-0.9692419767379761","-0.9692419767379761","-0.9692419767379761","-1.0340499877929688","-1.0340499877929688","-1.0340499877929688","-0.30709999799728394","-0.30709999799728394","-0.30709999799728394","-0.47512999176979065","-0.47512999176979065","-0.47512999176979065","-0.6367499828338623","-0.6367499828338623","-0.6367499828338623","0.13555002212524414","0.13555002212524414","0.13555002212524414","-0.6233839988708496","-0.6233839988708496","-0.6233839988708496","0.11094199866056442","0.11094199866056442","0.11094199866056442","1.9588021039962769","1.9588021039962769","1.9588021039962769","0.899802029132843","0.899802029132843","0.899802029132843","-0.8536636233329773","-0.8536636233329773","-0.8536636233329773"
"7","-0.9801200032234192","-0.9801200032234192","-0.9801200032234192","-1.0340659618377686","-1.0340659618377686","-1.0340659618377686","-0.25476598739624023","-0.25476598739624023","-0.25476598739624023","-0.4791879951953888","-0.4791879951953888","-0.4791879951953888","-0.6367620229721069","-0.6367620229721069","-0.6367620229721069","0.13555802404880524","0.13555802404880524","0.13555802404880524","-0.6045860052108765","-0.6045860052108765","-0.6045860052108765","0.06300999969244003","0.06300999969244003","0.06300999969244003","2.1945061683654785","2.1945061683654785","2.1945061683654785","0.9138860106468201","0.9138860106468201","0.9138860106468201","-0.8760692477226257","-0.8760692477226257","-0.8760692477226257"
"8","-0.9801120162010193","-0.9801120162010193","-0.9801120162010193","-1.0429359674453735","-1.0429359674453735","-1.0429359674453735","-0.25476598739624023","-0.25476598739624023","-0.25476598739624023","-0.5330719947814941","-0.5330719947814941","-0.5330719947814941","-0.6364380121231079","-0.6364380121231079","-0.6364380121231079","0.11532202363014221","0.11532202363014221","0.11532202363014221","-0.6031339764595032","-0.6031339764595032","-0.6031339764595032","0.001028000027872622","0.001028000027872622","0.001028000027872622","1.786336064338684","1.786336064338684","1.786336064338684","0.9678820371627808","0.9678820371627808","0.9678820371627808","-0.8924866914749146","-0.8924866914749146","-0.8924866914749146"
"9","-0.9811040163040161","-0.9811040163040161","-0.9811040163040161","-1.04312002658844","-1.04312002658844","-1.04312002658844","-0.2538659870624542","-0.2538659870624542","-0.2538659870624542","-0.5119400024414062","-0.5119400024414062","-0.5119400024414062","-0.6447420120239258","-0.6447420120239258","-0.6447420120239258","0.09084601700305939","0.09084601700305939","0.09084601700305939","-0.6485000252723694","-0.6485000252723694","-0.6485000252723694","-0.014801999554038048","-0.014801999554038048","-0.014801999554038048","1.7861080169677734","1.7861080169677734","1.7861080169677734","0.9678820371627808","0.9678820371627808","0.9678820371627808","-0.9022121429443359","-0.9022121429443359","-0.9022121429443359"
