"Step","PPO, foraging training, 1M steps; aai_timescale=1 - rollout/ep_rew_mean","PPO, foraging training, 1M steps; aai_timescale=1 - rollout/ep_rew_mean__MIN","PPO, foraging training, 1M steps; aai_timescale=1 - rollout/ep_rew_mean__MAX"
"0","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"1","-0.6586624979972839","-0.6586624979972839","-0.6586624979972839"
"2","-0.6586624979972839","-0.6586624979972839","-0.6586624979972839"
"3","-0.11465714126825333","-0.11465714126825333","-0.11465714126825333"
"4","0.45858123898506165","0.45858123898506165","0.45858123898506165"
"5","0.44146665930747986","0.44146665930747986","0.44146665930747986"
"6","0.3064500093460083","0.3064500093460083","0.3064500093460083"
"7","0.3062250018119812","0.3062250018119812","0.3062250018119812"
"8","0.04506000131368637","0.04506000131368637","0.04506000131368637"
"9","-0.07784117758274078","-0.07784117758274078","-0.07784117758274078"
"10","-0.00034736841917037964","-0.00034736841917037964","-0.00034736841917037964"
"11","-0.05031000077724457","-0.05031000077724457","-0.05031000077724457"
"12","0.22632727026939392","0.22632727026939392","0.22632727026939392"
"13","0.5454479455947876","0.5454479455947876","0.5454479455947876"
"14","0.8789880275726318","0.8789880275726318","0.8789880275726318"
"15","0.8789880275726318","0.8789880275726318","0.8789880275726318"
"16","1.4066423177719116","1.4066423177719116","1.4066423177719116"
"17","2.040598154067993","2.040598154067993","2.040598154067993"
"18","1.9800448417663574","1.9800448417663574","1.9800448417663574"
"19","2.29502010345459","2.29502010345459","2.29502010345459"
"20","2.7396323680877686","2.7396323680877686","2.7396323680877686"
"21","2.8607749938964844","2.8607749938964844","2.8607749938964844"
"22","3.5615956783294678","3.5615956783294678","3.5615956783294678"
"23","3.855180025100708","3.855180025100708","3.855180025100708"
"24","3.9911680221557617","3.9911680221557617","3.9911680221557617"
"25","4.317871570587158","4.317871570587158","4.317871570587158"
"26","4.60145378112793","4.60145378112793","4.60145378112793"
"27","4.9459028244018555","4.9459028244018555","4.9459028244018555"
"28","4.9459028244018555","4.9459028244018555","4.9459028244018555"
"29","5.60945987701416","5.60945987701416","5.60945987701416"
"30","5.654048919677734","5.654048919677734","5.654048919677734"
"31","5.694870948791504","5.694870948791504","5.694870948791504"
"32","5.9972310066223145","5.9972310066223145","5.9972310066223145"
"33","6.262207508087158","6.262207508087158","6.262207508087158"
"34","6.262207508087158","6.262207508087158","6.262207508087158"
"35","6.588587760925293","6.588587760925293","6.588587760925293"
