"Step","PPO (default), operantCurriculum E, timescale=1, 400K timesteps - rollout/ep_rew_mean","PPO (default), operantCurriculum E, timescale=1, 400K timesteps - rollout/ep_rew_mean__MIN","PPO (default), operantCurriculum E, timescale=1, 400K timesteps - rollout/ep_rew_mean__MAX","PPO (default), operantCurriculum D, timescale=1, 400K timesteps - rollout/ep_rew_mean","PPO (default), operantCurriculum D, timescale=1, 400K timesteps - rollout/ep_rew_mean__MIN","PPO (default), operantCurriculum D, timescale=1, 400K timesteps - rollout/ep_rew_mean__MAX","PPO (default), operantCurriculum C, timescale=1, 400K timesteps - rollout/ep_rew_mean","PPO (default), operantCurriculum C, timescale=1, 400K timesteps - rollout/ep_rew_mean__MIN","PPO (default), operantCurriculum C, timescale=1, 400K timesteps - rollout/ep_rew_mean__MAX","PPO (default), operantCurriculum B, timescale=1, 400K timesteps - rollout/ep_rew_mean","PPO (default), operantCurriculum B, timescale=1, 400K timesteps - rollout/ep_rew_mean__MIN","PPO (default), operantCurriculum B, timescale=1, 400K timesteps - rollout/ep_rew_mean__MAX","PPO (default), operantCurriculum A, timescale=1, 400K timesteps - rollout/ep_rew_mean","PPO (default), operantCurriculum A, timescale=1, 400K timesteps - rollout/ep_rew_mean__MIN","PPO (default), operantCurriculum A, timescale=1, 400K timesteps - rollout/ep_rew_mean__MAX"
"0","-0.37835198640823364","-0.37835198640823364","-0.37835198640823364","-0.4740560054779053","-0.4740560054779053","-0.4740560054779053","0.9048720002174377","0.9048720002174377","0.9048720002174377","0.948360025882721","0.948360025882721","0.948360025882721","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"1","-0.3791239857673645","-0.3791239857673645","-0.3791239857673645","-0.47099199891090393","-0.47099199891090393","-0.47099199891090393","0.8661360144615173","0.8661360144615173","0.8661360144615173","0.9492520093917847","0.9492520093917847","0.9492520093917847","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"2","-0.41812801361083984","-0.41812801361083984","-0.41812801361083984","-0.46898800134658813","-0.46898800134658813","-0.46898800134658813","0.8077239990234375","0.8077239990234375","0.8077239990234375","0.9354479908943176","0.9354479908943176","0.9354479908943176","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"3","-0.42003199458122253","-0.42003199458122253","-0.42003199458122253","-0.4676400125026703","-0.4676400125026703","-0.4676400125026703","0.7687600255012512","0.7687600255012512","0.7687600255012512","0.9306280016899109","0.9306280016899109","0.9306280016899109","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"4","-0.4395279884338379","-0.4395279884338379","-0.4395279884338379","-0.4682359993457794","-0.4682359993457794","-0.4682359993457794","0.7103760242462158","0.7103760242462158","0.7103760242462158","0.950219988822937","0.950219988822937","0.950219988822937","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"5","-0.4785360097885132","-0.4785360097885132","-0.4785360097885132","-0.4471000134944916","-0.4471000134944916","-0.4471000134944916","0.6714239716529846","0.6714239716529846","0.6714239716529846","0.9537360072135925","0.9537360072135925","0.9537360072135925","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"6","-0.49803999066352844","-0.49803999066352844","-0.49803999066352844","-0.4495120048522949","-0.4495120048522949","-0.4495120048522949","0.6323599815368652","0.6323599815368652","0.6323599815368652","0.95524001121521","0.95524001121521","0.95524001121521","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"7","-0.5019599795341492","-0.5019599795341492","-0.5019599795341492","-0.4496519863605499","-0.4496519863605499","-0.4496519863605499","0.5733519792556763","0.5733519792556763","0.5733519792556763","0.9446439743041992","0.9446439743041992","0.9446439743041992","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"8","-0.522055983543396","-0.522055983543396","-0.522055983543396","-0.43189600110054016","-0.43189600110054016","-0.43189600110054016","0.5339199900627136","0.5339199900627136","0.5339199900627136","0.9414880275726318","0.9414880275726318","0.9414880275726318","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"9","-0.5414280295372009","-0.5414280295372009","-0.5414280295372009","-0.43408000469207764","-0.43408000469207764","-0.43408000469207764","0.49501198530197144","0.49501198530197144","0.49501198530197144","0.9007800221443176","0.9007800221443176","0.9007800221443176","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"10","-0.5226439833641052","-0.5226439833641052","-0.5226439833641052","-0.41652798652648926","-0.41652798652648926","-0.41652798652648926","0.43674400448799133","0.43674400448799133","0.43674400448799133","0.9088799953460693","0.9088799953460693","0.9088799953460693","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"11","-0.5358480215072632","-0.5358480215072632","-0.5358480215072632","-0.41703999042510986","-0.41703999042510986","-0.41703999042510986","0.39781999588012695","0.39781999588012695","0.39781999588012695","0.950111985206604","0.950111985206604","0.950111985206604","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"12","-0.5362399816513062","-0.5362399816513062","-0.5362399816513062","-0.41694799065589905","-0.41694799065589905","-0.41694799065589905","0.33952799439430237","0.33952799439430237","0.33952799439430237","0.931443989276886","0.931443989276886","0.931443989276886","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"13","-0.5553719997406006","-0.5553719997406006","-0.5553719997406006","-0.41694799065589905","-0.41694799065589905","-0.41694799065589905","0.3006080090999603","0.3006080090999603","0.3006080090999603","0.911408007144928","0.911408007144928","0.911408007144928","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"14","-0.5562800168991089","-0.5562800168991089","-0.5562800168991089","-0.39792799949645996","-0.39792799949645996","-0.39792799949645996","0.2617039978504181","0.2617039978504181","0.2617039978504181","0.910036027431488","0.910036027431488","0.910036027431488","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"15","-0.5737320184707642","-0.5737320184707642","-0.5737320184707642","-0.37802401185035706","-0.37802401185035706","-0.37802401185035706","0.20332400500774384","0.20332400500774384","0.20332400500774384","0.954043984413147","0.954043984413147","0.954043984413147","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"16","-0.5916039943695068","-0.5916039943695068","-0.5916039943695068","-0.3775799870491028","-0.3775799870491028","-0.3775799870491028","0.1643799990415573","0.1643799990415573","0.1643799990415573","0.9523320198059082","0.9523320198059082","0.9523320198059082","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
