"Step","PPO (default), operant training, aai_timescale=1, 2M steps - rollout/ep_rew_mean","PPO (default), operant training, aai_timescale=1, 2M steps - rollout/ep_rew_mean__MIN","PPO (default), operant training, aai_timescale=1, 2M steps - rollout/ep_rew_mean__MAX"
"0","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"1","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"2","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"3","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"4","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"5","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"6","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"7","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"8","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"9","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"10","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"11","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"12","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"13","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"14","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"15","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"16","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"17","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"18","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"19","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"20","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"21","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"22","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"23","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"24","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"25","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"26","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"27","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"28","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"29","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"30","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"31","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"32","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"33","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"34","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"35","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"36","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"37","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"38","-0.9827958345413208","-0.9827958345413208","-0.9827958345413208"
"39","-0.9831387996673584","-0.9831387996673584","-0.9831387996673584"
"40","-0.9834679961204529","-0.9834679961204529","-0.9834679961204529"
"41","-0.9834679961204529","-0.9834679961204529","-0.9834679961204529"
"42","-0.9834679961204529","-0.9834679961204529","-0.9834679961204529"
"43","-0.9834679961204529","-0.9834679961204529","-0.9834679961204529"
"44","-0.9834679961204529","-0.9834679961204529","-0.9834679961204529"
"45","-0.9834679961204529","-0.9834679961204529","-0.9834679961204529"
"46","-0.9834679961204529","-0.9834679961204529","-0.9834679961204529"
"47","-0.9834679961204529","-0.9834679961204529","-0.9834679961204529"
"48","-0.9834679961204529","-0.9834679961204529","-0.9834679961204529"
"49","-0.9834679961204529","-0.9834679961204529","-0.9834679961204529"
"50","-0.9834679961204529","-0.9834679961204529","-0.9834679961204529"
"51","-0.9834679961204529","-0.9834679961204529","-0.9834679961204529"
"52","-0.9834679961204529","-0.9834679961204529","-0.9834679961204529"
"53","-0.9834679961204529","-0.9834679961204529","-0.9834679961204529"
"54","-0.9834679961204529","-0.9834679961204529","-0.9834679961204529"
"55","-0.9834679961204529","-0.9834679961204529","-0.9834679961204529"
"56","-0.9834679961204529","-0.9834679961204529","-0.9834679961204529"
"57","-0.9834679961204529","-0.9834679961204529","-0.9834679961204529"
"58","-0.9834679961204529","-0.9834679961204529","-0.9834679961204529"
"59","-0.9834679961204529","-0.9834679961204529","-0.9834679961204529"
"60","-0.9834679961204529","-0.9834679961204529","-0.9834679961204529"
"61","-0.9834679961204529","-0.9834679961204529","-0.9834679961204529"
"62","-0.9834679961204529","-0.9834679961204529","-0.9834679961204529"
"63","-0.9834679961204529","-0.9834679961204529","-0.9834679961204529"
"64","-0.9834679961204529","-0.9834679961204529","-0.9834679961204529"
"65","-0.9834679961204529","-0.9834679961204529","-0.9834679961204529"
"66","-0.9834679961204529","-0.9834679961204529","-0.9834679961204529"
"67","-0.9834679961204529","-0.9834679961204529","-0.9834679961204529"
"68","-0.9834679961204529","-0.9834679961204529","-0.9834679961204529"
"69","-0.9834679961204529","-0.9834679961204529","-0.9834679961204529"
"70","-0.9834679961204529","-0.9834679961204529","-0.9834679961204529"
"71","-0.9834679961204529","-0.9834679961204529","-0.9834679961204529"
"72","-0.9834679961204529","-0.9834679961204529","-0.9834679961204529"
"73","-0.9834679961204529","-0.9834679961204529","-0.9834679961204529"
"74","-0.9834679961204529","-0.9834679961204529","-0.9834679961204529"
"75","-0.9834679961204529","-0.9834679961204529","-0.9834679961204529"
"76","-0.9834679961204529","-0.9834679961204529","-0.9834679961204529"
"77","-0.9834679961204529","-0.9834679961204529","-0.9834679961204529"
"78","-0.9834679961204529","-0.9834679961204529","-0.9834679961204529"
"79","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"80","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"81","-0.98471599817276","-0.98471599817276","-0.98471599817276"
"82","-0.98471599817276","-0.98471599817276","-0.98471599817276"
"83","-0.98471599817276","-0.98471599817276","-0.98471599817276"
"84","-0.98471599817276","-0.98471599817276","-0.98471599817276"
"85","-0.98471599817276","-0.98471599817276","-0.98471599817276"
"86","-0.98471599817276","-0.98471599817276","-0.98471599817276"
"87","-0.98471599817276","-0.98471599817276","-0.98471599817276"
"88","-0.98471599817276","-0.98471599817276","-0.98471599817276"
"89","-0.98471599817276","-0.98471599817276","-0.98471599817276"
"90","-0.98471599817276","-0.98471599817276","-0.98471599817276"
"91","-0.98471599817276","-0.98471599817276","-0.98471599817276"
"92","-0.98471599817276","-0.98471599817276","-0.98471599817276"
