episode,finalReward
01-01-01.yaml,[0.9862]
01-01-02.yaml,[0.9822]
01-01-03.yaml,[0.9862]
01-02-01.yaml,[0.955]
01-02-02.yaml,[0.955]
01-02-03.yaml,[0.94380003]
01-03-01.yaml,[0.94140005]
01-03-02.yaml,[0.9166]
01-03-03.yaml,[0.89259994]
01-04-01.yaml,[0.9246]
01-04-02.yaml,[-0.9999971]
01-04-03.yaml,[-0.9999971]
01-05-01.yaml,[0.9246]
01-05-02.yaml,[-0.9999971]
01-05-03.yaml,[-0.9999971]
01-06-01.yaml,[2.9434001]
01-06-02.yaml,[2.9226]
01-06-03.yaml,[2.9226]
01-07-01.yaml,[4.9422]
01-07-02.yaml,[4.9221997]
01-07-03.yaml,[4.9221997]
01-08-01.yaml,[0.4627]
01-08-02.yaml,[0.4563]
01-08-03.yaml,[0.4563]
01-09-01.yaml,[0.94380003]
01-09-02.yaml,[-0.9999971]
01-09-03.yaml,[-0.9999971]
01-10-01.yaml,[4.9422]
01-10-02.yaml,[4.9286003]
01-10-03.yaml,[4.9286003]
01-11-01.yaml,[0.4627]
01-11-02.yaml,[0.4563]
01-11-03.yaml,[0.4563]
01-12-01.yaml,[4.787]
01-12-02.yaml,[4.8366]
01-12-03.yaml,[4.775]
01-13-01.yaml,[0.78380007]
01-13-02.yaml,[0.83659995]
01-13-03.yaml,[0.76940006]
01-14-01.yaml,[0.2843001]
01-14-02.yaml,[0.3315]
01-14-03.yaml,[0.2643001]
01-15-01.yaml,[0.78380007]
01-15-02.yaml,[0.83659995]
01-15-03.yaml,[0.76940006]
01-16-01.yaml,[0.25070012]
01-16-02.yaml,[-0.9999971]
01-16-03.yaml,[0.2707001]
01-17-01.yaml,[0.25070012]
01-17-02.yaml,[-0.9999971]
01-17-03.yaml,[0.2707001]
01-18-01.yaml,[0.8406]
01-18-02.yaml,[0.85499996]
01-18-03.yaml,[0.71099997]
01-19-01.yaml,[0.8406]
01-19-02.yaml,[0.85499996]
01-19-03.yaml,[0.9174]
01-20-01.yaml,[4.303805]
01-20-02.yaml,[4.303805]
01-20-03.yaml,[4.303805]
01-21-01.yaml,[6.397017]
01-21-02.yaml,[6.397017]
01-21-03.yaml,[6.397017]
01-22-01.yaml,[39.154095]
01-22-02.yaml,[39.154095]
01-22-03.yaml,[39.154095]
01-23-01.yaml,[6.366187]
01-23-02.yaml,[6.366187]
01-23-03.yaml,[6.366187]
01-24-01.yaml,[-0.9999971]
01-24-02.yaml,[-0.9999971]
01-24-03.yaml,[-0.9999971]
01-25-01.yaml,[-0.9999971]
01-25-02.yaml,[-0.9999971]
01-25-03.yaml,[-0.9999971]
01-26-01.yaml,[-0.9999971]
01-26-02.yaml,[-0.9999971]
01-26-03.yaml,[0.8254]
01-27-01.yaml,[-0.9999971]
01-27-02.yaml,[-0.9999971]
01-27-03.yaml,[-0.9999971]
01-28-01.yaml,[-1.0000069]
01-28-02.yaml,[0.84459996]
01-28-03.yaml,[0.84459996]
01-29-01.yaml,[-1.0000069]
01-29-02.yaml,[-1.0000069]
01-29-03.yaml,[-1.0000069]
01-30-01.yaml,[-1.0001872]
01-30-02.yaml,[-1.0001872]
01-30-03.yaml,[-1.0001872]
02-01-01.yaml,[-0.9999971]
02-01-02.yaml,[-0.9999971]
02-01-03.yaml,[-0.9999971]
02-02-01.yaml,[-0.9999971]
02-02-02.yaml,[-0.9999971]
02-02-03.yaml,[-0.9999971]
02-03-01.yaml,[-0.9999971]
02-03-02.yaml,[-0.9999971]
02-03-03.yaml,[-0.9999971]
02-04-01.yaml,[-0.9999971]
02-04-02.yaml,[-0.9999971]
02-04-03.yaml,[-0.9999971]
02-05-01.yaml,[-0.9999971]
02-05-02.yaml,[-0.9999971]
02-05-03.yaml,[-0.9999971]
02-06-01.yaml,[-0.9999971]
02-06-02.yaml,[-0.9999971]
02-06-03.yaml,[-0.9999971]
02-07-01.yaml,[-0.9999971]
02-07-02.yaml,[-0.9999971]
02-07-03.yaml,[-0.9999971]
02-08-01.yaml,[-0.9999971]
02-08-02.yaml,[-0.9999971]
02-08-03.yaml,[-0.9999971]
02-09-01.yaml,[-0.9999971]
02-09-02.yaml,[-0.9999971]
02-09-03.yaml,[-0.9999971]
02-10-01.yaml,[-0.9999971]
02-10-02.yaml,[-0.9999971]
02-10-03.yaml,[-0.9999971]
02-11-01.yaml,[-0.9999971]
02-11-02.yaml,[-0.9999971]
02-11-03.yaml,[-0.9999971]
02-12-01.yaml,[-0.9999971]
02-12-02.yaml,[-0.9999971]
02-12-03.yaml,[-0.9999971]
02-13-01.yaml,[1.9236]
02-13-02.yaml,[1.9236]
02-13-03.yaml,[1.9316]
02-14-01.yaml,[-0.9999971]
