episode,finalReward
01-01-01.yaml,[-0.9975971]
01-01-02.yaml,[0.9846]
01-01-03.yaml,[-0.9975971]
01-02-01.yaml,[-0.9975971]
01-02-02.yaml,[-0.9975971]
01-02-03.yaml,[-0.9975971]
01-03-01.yaml,[-0.9975971]
01-03-02.yaml,[-0.9975971]
01-03-03.yaml,[-0.9975971]
01-04-01.yaml,[-0.9975971]
01-04-02.yaml,[-0.9975971]
01-04-03.yaml,[-0.9975971]
01-05-01.yaml,[0.42619956]
01-05-02.yaml,[-0.9975971]
01-05-03.yaml,[-0.9975971]
01-06-01.yaml,[-0.9975971]
01-06-02.yaml,[-0.9975971]
01-06-03.yaml,[-0.9975971]
01-07-01.yaml,[-0.9975971]
01-07-02.yaml,[-0.9975971]
01-07-03.yaml,[-0.9975971]
01-08-01.yaml,[-0.9975971]
01-08-02.yaml,[-0.9975971]
01-08-03.yaml,[-0.9975971]
01-09-01.yaml,[-0.9975971]
01-09-02.yaml,[0.6789998]
01-09-03.yaml,[0.45899934]
01-10-01.yaml,[-0.9975971]
01-10-02.yaml,[-0.9975971]
01-10-03.yaml,[-0.9975971]
01-11-01.yaml,[-0.9975971]
01-11-02.yaml,[-0.9975971]
01-11-03.yaml,[-0.9975971]
01-12-01.yaml,[-0.9975971]
01-12-02.yaml,[-0.9975971]
01-12-03.yaml,[-0.9975971]
01-13-01.yaml,[-0.9975971]
01-13-02.yaml,[-0.9975971]
01-13-03.yaml,[-0.9975971]
01-14-01.yaml,[-0.9975971]
01-14-02.yaml,[-0.9975971]
01-14-03.yaml,[-0.26129895]
01-15-01.yaml,[-0.9975971]
01-15-02.yaml,[-0.9975971]
01-15-03.yaml,[-0.9975971]
01-16-01.yaml,[-0.9975971]
01-16-02.yaml,[-0.9975971]
01-16-03.yaml,[-0.9975971]
01-17-01.yaml,[-0.9975971]
01-17-02.yaml,[-0.9975971]
01-17-03.yaml,[-0.9975971]
01-18-01.yaml,[-0.9975971]
01-18-02.yaml,[-0.9975971]
01-18-03.yaml,[-0.9975971]
01-19-01.yaml,[-0.9975971]
01-19-02.yaml,[-0.9975971]
01-19-03.yaml,[-0.9975971]
01-20-01.yaml,[0.7051906]
01-20-02.yaml,[-0.8321968]
01-20-03.yaml,[-0.3604021]
01-21-01.yaml,[-0.3638]
01-21-02.yaml,[-0.99880695]
01-21-03.yaml,[-0.8324127]
01-22-01.yaml,[28.002844]
01-22-02.yaml,[23.77434]
01-22-03.yaml,[30.865965]
01-23-01.yaml,[-1.5641997]
01-23-02.yaml,[-0.38800287]
01-23-03.yaml,[-1.6434009]
01-24-01.yaml,[-0.9975971]
01-24-02.yaml,[-1.5598005]
01-24-03.yaml,[-1.0934]
01-25-01.yaml,[-0.9975971]
01-25-02.yaml,[-0.9975971]
01-25-03.yaml,[-5.2757998]
01-26-01.yaml,[-0.9975971]
01-26-02.yaml,[-0.9975971]
01-26-03.yaml,[-1.123]
01-27-01.yaml,[-0.9975971]
01-27-02.yaml,[-0.94899493]
01-27-03.yaml,[-0.9975971]
01-28-01.yaml,[-1.2294004]
01-28-02.yaml,[-0.80420756]
01-28-03.yaml,[-0.99880695]
01-29-01.yaml,[-0.35640347]
01-29-02.yaml,[0.9914]
01-29-03.yaml,[-0.99880695]
01-30-01.yaml,[0.2528199]
01-30-02.yaml,[0.92260003]
01-30-03.yaml,[-1.1286002]
02-01-01.yaml,[-0.9975971]
02-01-02.yaml,[-0.9975971]
02-01-03.yaml,[-0.9975971]
02-02-01.yaml,[-0.9975971]
02-02-02.yaml,[-0.9975971]
02-02-03.yaml,[-0.9975971]
02-03-01.yaml,[-0.9975971]
02-03-02.yaml,[-0.9975971]
02-03-03.yaml,[-0.9975971]
02-04-01.yaml,[-0.9975971]
02-04-02.yaml,[-0.9975971]
02-04-03.yaml,[-0.9975971]
02-05-01.yaml,[0.48299915]
02-05-02.yaml,[-0.9975971]
02-05-03.yaml,[-0.9975971]
02-06-01.yaml,[-0.9975971]
02-06-02.yaml,[-0.9975971]
02-06-03.yaml,[-0.9975971]
02-07-01.yaml,[-0.9975971]
02-07-02.yaml,[-0.9975971]
02-07-03.yaml,[-0.9975971]
02-08-01.yaml,[-0.9975971]
02-08-02.yaml,[-0.9975971]
02-08-03.yaml,[-1.7941988]
02-09-01.yaml,[-0.9975971]
02-09-02.yaml,[-1.3918005]
02-09-03.yaml,[-0.9975971]
02-10-01.yaml,[-0.9975971]
02-10-02.yaml,[-0.9975971]
02-10-03.yaml,[-0.9975971]
02-11-01.yaml,[-0.9975971]
02-11-02.yaml,[-0.9975971]
02-11-03.yaml,[-0.9975971]
02-12-01.yaml,[-0.9975971]
02-12-02.yaml,[-0.9975971]
02-12-03.yaml,[-0.9975971]
02-13-01.yaml,[-0.9975971]
02-13-02.yaml,[1.0372026]
02-13-03.yaml,[-0.9975971]
02-14-01.yaml,[-0.9975971]
02-14-02.yaml,[-0.9975971]
02-14-03.yaml,[1.240401]
02-15-01.yaml,[-0.9975971]
02-15-02.yaml,[1.6219995]
02-15-03.yaml,[-0.9975971]
02-16-01.yaml,[0.2206012]
02-16-02.yaml,[-0.9975971]
02-16-03.yaml,[-0.9975971]
02-17-01.yaml,[-0.9975971]
02-17-02.yaml,[-0.9975971]
02-17-03.yaml,[-0.9975971]
02-18-01.yaml,[-0.9975971]
02-18-02.yaml,[-0.9975971]
02-18-03.yaml,[-0.9975971]
02-19-01.yaml,[1.2836007]
02-19-02.yaml,[-0.9975971]
02-19-03.yaml,[4.6837997]
02-20-01.yaml,[-0.9975971]
02-20-02.yaml,[-0.9975971]
02-20-03.yaml,[-0.9975971]
02-21-01.yaml,[2.8922]
02-21-02.yaml,[2.7861998]
02-21-03.yaml,[2.6090004]
02-22-01.yaml,[2.0625942]
02-22-02.yaml,[2.284998]
02-22-03.yaml,[2.3941996]
02-23-01.yaml,[1.8006325]
02-23-02.yaml,[0.8141998]
02-23-03.yaml,[-0.99880695]
02-24-01.yaml,[1.5731952]
02-24-02.yaml,[0.9694]
02-24-03.yaml,[3.3500063]
02-25-01.yaml,[-0.99880695]
02-25-02.yaml,[-0.3396045]
02-25-03.yaml,[0.00998658]
02-26-01.yaml,[-0.20480351]
02-26-02.yaml,[1.3246413]
02-26-03.yaml,[-0.99880695]
02-27-01.yaml,[-0.99880695]
02-27-02.yaml,[-0.99880695]
02-27-03.yaml,[0.5898007]
02-28-01.yaml,[-1.1634002]
02-28-02.yaml,[-1.1974003]
02-28-03.yaml,[1.327432]
02-29-01.yaml,[0.2523998]
02-29-02.yaml,[0.86300004]
02-29-03.yaml,[-0.99880695]
02-30-01.yaml,[2.2063935]
02-30-02.yaml,[1.5916008]
02-30-03.yaml,[1.7993928]
03-01-01.yaml,[-0.9975971]
03-01-02.yaml,[-0.9975971]
03-01-03.yaml,[-0.9975971]
03-02-01.yaml,[-0.9975971]
03-02-02.yaml,[-0.9975971]
03-02-03.yaml,[-0.9975971]
03-03-01.yaml,[-0.9975971]
03-03-02.yaml,[-0.9975971]
03-03-03.yaml,[-0.9975971]
03-04-01.yaml,[-0.9975971]
03-04-02.yaml,[-0.9975971]
03-04-03.yaml,[-0.9975971]
03-05-01.yaml,[-0.9975971]
03-05-02.yaml,[-0.9975971]
03-05-03.yaml,[-0.9975971]
03-06-01.yaml,[-0.9975971]
03-06-02.yaml,[-0.9975971]
03-06-03.yaml,[-0.9975971]
03-07-01.yaml,[-0.9975971]
03-07-02.yaml,[-0.9975971]
03-07-03.yaml,[-0.9975971]
03-08-01.yaml,[-0.9975971]
03-08-02.yaml,[-0.9975971]
03-08-03.yaml,[-0.9975971]
03-09-01.yaml,[-0.9975971]
03-09-02.yaml,[-0.9975971]
03-09-03.yaml,[-0.9975971]
03-10-01.yaml,[-0.9975971]
03-10-02.yaml,[-0.9975971]
03-10-03.yaml,[-0.9975971]
03-11-01.yaml,[-0.9975971]
03-11-02.yaml,[-0.9975971]
03-11-03.yaml,[-0.9975971]
03-12-01.yaml,[-0.9975971]
03-12-02.yaml,[-0.9975971]
03-12-03.yaml,[-0.9975971]
03-13-01.yaml,[-0.9975971]
03-13-02.yaml,[-0.9975971]
03-13-03.yaml,[-0.9975971]
03-14-01.yaml,[-0.9975971]
03-14-02.yaml,[-0.9975971]
03-14-03.yaml,[-0.9975971]
03-15-01.yaml,[-0.9975971]
03-15-02.yaml,[-0.9975971]
03-15-03.yaml,[-0.9975971]
03-16-01.yaml,[-0.9975971]
03-16-02.yaml,[-0.9975971]
03-16-03.yaml,[-0.9975971]
03-17-01.yaml,[-0.9975971]
03-17-02.yaml,[-0.9975971]
03-17-03.yaml,[-0.9975971]
03-18-01.yaml,[-0.99880695]
03-18-02.yaml,[-0.99880695]
03-18-03.yaml,[-0.99880695]
03-19-01.yaml,[-0.99880695]
03-19-02.yaml,[-0.99880695]
03-19-03.yaml,[-0.99880695]
03-20-01.yaml,[-0.9975971]
03-20-02.yaml,[-0.9975971]
03-20-03.yaml,[-0.9975971]
03-21-01.yaml,[-0.99880695]
03-21-02.yaml,[-0.99880695]
03-21-03.yaml,[-0.99880695]
03-22-01.yaml,[-0.9975971]
03-22-02.yaml,[-0.9975971]
03-22-03.yaml,[-0.9975971]
