EpisodeNumber,FinalReward
0,[21.551561]
1,[21.55876]
2,[21.577988]
3,[21.56799]
4,[21.578796]
5,[21.571594]
6,[21.569994]
7,[21.567171]
8,[21.572397]
9,[21.523207]
10,[21.536768]
11,[21.579987]
12,[21.57117]
13,[21.52321]
14,[21.56879]
15,[21.579569]
16,[21.578789]
17,[21.571594]
18,[21.53996]
19,[21.5484]
20,[21.544802]
21,[21.524405]
22,[21.577593]
23,[21.580786]
24,[21.570791]
25,[21.579967]
26,[21.574795]
27,[18.329275]
28,[21.57839]
29,[21.548]
30,[21.507568]
31,[21.50521]
32,[21.56799]
33,[21.577984]
34,[21.572779]
35,[21.571993]
36,[21.542406]
37,[21.547604]
38,[18.332071]
39,[21.568783]
40,[21.570372]
41,[21.546402]
42,[21.531961]
43,[21.56919]
44,[21.578768]
45,[21.520409]
46,[21.5532]
47,[21.512814]
48,[21.569578]
49,[21.571997]
50,[21.550802]
51,[21.581175]
52,[21.57959]
53,[21.57037]
54,[21.578386]
55,[21.579584]
56,[18.311653]
57,[21.569588]
58,[21.508795]
59,[21.571596]
60,[21.579592]
61,[21.550398]
62,[21.57159]
63,[21.580791]
64,[21.505613]
65,[21.572796]
66,[21.52121]
67,[21.57198]
68,[21.571611]
69,[21.517208]
70,[21.572382]
71,[21.5396]
72,[21.570393]
73,[21.568384]
74,[21.561535]
75,[21.544802]
76,[21.568396]
77,[21.56478]
78,[21.572386]
79,[21.569983]
80,[21.517208]
81,[21.531563]
82,[21.567192]
83,[21.516409]
84,[21.565193]
85,[21.55116]
86,[21.51841]
87,[21.572376]
88,[21.57879]
89,[21.535995]
90,[21.57877]
91,[21.55156]
92,[21.569593]
93,[21.518005]
94,[21.537209]
95,[21.555937]
96,[21.564337]
97,[21.57119]
98,[21.542404]
99,[21.45722]
