EpisodeNumber,FinalReward
0,[4.4950914]
1,[6.2587433]
2,[-0.99960697]
3,[13.102471]
4,[12.3833475]
5,[-0.99960697]
6,[9.020342]
7,[8.881301]
8,[-0.99960697]
9,[-0.99880695]
10,[12.314162]
11,[-0.99920696]
12,[7.1431913]
13,[4.152303]
14,[-0.99880695]
15,[-0.99920696]
16,[7.6330996]
17,[6.284027]
18,[10.493449]
19,[0.45015323]
20,[0.41775182]
21,[-0.99880695]
22,[8.551387]
23,[6.0875115]
24,[9.388261]
25,[8.00925]
26,[-0.99920696]
27,[12.598357]
28,[7.3733354]
29,[-0.99880695]
30,[12.892667]
31,[8.755287]
32,[2.743544]
33,[-0.99880695]
34,[8.201262]
35,[-0.99920696]
36,[-0.99960697]
37,[10.810285]
38,[-0.99920696]
39,[-0.99960697]
40,[9.982052]
41,[8.539318]
42,[0.63736445]
43,[4.662289]
44,[8.468031]
45,[-0.99880695]
46,[6.7519693]
47,[4.1734962]
48,[-0.99920696]
49,[1.9527338]
50,[14.682442]
51,[-0.99880695]
52,[12.710143]
53,[8.456496]
54,[2.0495486]
55,[11.452999]
56,[14.377783]
57,[-0.99880695]
58,[14.130042]
59,[4.8254876]
60,[-0.99880695]
61,[14.760631]
62,[11.286403]
63,[13.742863]
64,[8.561387]
65,[-0.99920696]
66,[4.3758926]
67,[2.666746]
68,[6.276452]
69,[4.8827047]
70,[11.295977]
71,[-0.99880695]
72,[6.8068247]
73,[14.547072]
74,[11.62868]
75,[-0.99960697]
76,[14.135982]
77,[4.923883]
78,[13.196084]
79,[0.85577625]
80,[12.661902]
81,[-0.99960697]
82,[4.329508]
83,[4.6278944]
84,[1.8267391]
85,[10.568409]
86,[-0.99880695]
87,[-0.99920696]
88,[-0.99960697]
89,[8.935712]
90,[4.255921]
91,[-0.99960697]
92,[-0.99880695]
93,[-0.99920696]
94,[8.858962]
95,[12.877495]
96,[0.7385709]
97,[12.662122]
98,[-0.99920696]
99,[-0.99960697]
