EpisodeNumber,FinalReward
0,[0.8548]
1,[0.8431999]
2,[0.78479964]
3,[0.7239997]
4,[0.7983997]
5,[0.69439995]
6,[0.52840126]
7,[0.6592002]
8,[-1.0000069]
9,[-1.0000069]
10,[0.70599985]
11,[0.66320014]
12,[-1.0000069]
13,[-1.0000069]
14,[0.7927997]
15,[-1.0000069]
16,[0.8195998]
17,[0.80119973]
18,[0.6608002]
19,[-1.0000069]
20,[-1.0000069]
21,[0.6884]
22,[0.66680014]
23,[-1.0000069]
24,[0.6724001]
25,[-1.0000069]
26,[0.6776]
27,[-1.0000069]
28,[0.6852]
29,[-1.0000069]
30,[-1.0000069]
31,[0.75439954]
32,[-1.0000069]
33,[0.7807996]
34,[0.5200013]
35,[0.7083998]
36,[-1.0000069]
37,[0.6596002]
38,[0.6088006]
39,[0.8435999]
40,[0.7063998]
41,[0.63760036]
42,[0.6572002]
43,[0.78559965]
44,[0.7995997]
45,[-1.0000069]
46,[0.6468003]
47,[0.6896]
48,[-1.0000069]
49,[-1.0000069]
50,[-1.0000069]
51,[0.7675996]
52,[0.6152005]
53,[0.66760015]
54,[0.65200025]
55,[0.7535995]
56,[0.6456003]
57,[-1.0000069]
58,[0.6836]
59,[0.7019999]
60,[-1.0000069]
61,[-1.0000069]
62,[0.75759953]
63,[0.85279995]
64,[-1.0000069]
65,[0.82679987]
66,[0.5940007]
67,[0.67040014]
68,[0.62560046]
69,[0.66440016]
70,[0.60600066]
71,[0.78799963]
72,[0.6720001]
73,[0.66360015]
74,[0.7003999]
75,[-1.0000069]
76,[-1.0000069]
77,[-1.0000069]
78,[0.557601]
79,[0.63440037]
80,[0.8391999]
81,[-1.0000069]
82,[0.6096006]
83,[-1.0000069]
84,[0.7883997]
85,[0.9352]
86,[0.6108006]
87,[-1.0000069]
88,[-1.0000069]
89,[0.5840008]
90,[0.5048014]
91,[0.64000034]
92,[0.78159964]
93,[0.6688001]
94,[0.7979997]
95,[-1.0000069]
96,[0.84519994]
97,[-1.0000069]
98,[-1.0000069]
99,[0.7759996]
