EpisodeNumber,FinalReward
0,[-0.99880695]
1,[-0.99920696]
2,[-0.99960697]
3,[-0.99880695]
4,[-0.99920696]
5,[-0.99960697]
6,[-0.99880695]
7,[-0.99920696]
8,[-0.99960697]
9,[-0.99880695]
10,[-0.99920696]
11,[-0.99960697]
12,[-0.99880695]
13,[-0.99920696]
14,[-0.99960697]
15,[-0.99880695]
16,[-0.99920696]
17,[-0.99960697]
18,[-0.99880695]
19,[-0.99920696]
20,[-0.99960697]
21,[-0.99880695]
22,[-0.99920696]
23,[-0.99960697]
24,[-0.99880695]
25,[-0.99920696]
26,[-0.99960697]
27,[-0.99880695]
28,[-0.99920696]
29,[-0.99960697]
30,[-0.99880695]
31,[-0.99920696]
32,[-0.99960697]
33,[-0.99880695]
34,[-0.99920696]
35,[-0.99960697]
36,[-0.99880695]
37,[-0.99920696]
38,[-0.99960697]
39,[-0.99880695]
40,[-0.99920696]
41,[-0.99960697]
42,[-0.99880695]
43,[-0.99920696]
44,[-0.99960697]
45,[-0.99880695]
46,[-0.99920696]
47,[-0.99960697]
48,[-0.99880695]
49,[-0.99920696]
50,[-0.99960697]
51,[-0.99880695]
52,[-0.99920696]
53,[-0.99960697]
54,[0.7271997]
55,[-0.99920696]
56,[-0.99960697]
57,[-0.99880695]
58,[0.08039439]
59,[-0.99920696]
60,[-0.99960697]
61,[-0.99880695]
62,[-0.99920696]
63,[-0.99960697]
64,[-0.99880695]
65,[-0.99920696]
66,[-0.99960697]
67,[-0.99880695]
68,[-0.99920696]
69,[-0.99960697]
70,[-0.99880695]
71,[-0.99920696]
72,[-0.99960697]
73,[-0.99880695]
74,[-0.99920696]
75,[-0.99960697]
76,[-0.99880695]
77,[-0.99920696]
78,[-0.99960697]
79,[-0.99880695]
80,[-0.99920696]
81,[-0.99960697]
82,[-0.99880695]
83,[-0.99920696]
84,[-0.99960697]
85,[-0.99880695]
86,[-0.99920696]
87,[-0.99960697]
88,[-0.99880695]
89,[-0.99920696]
90,[-0.99960697]
91,[-0.99880695]
92,[-0.99920696]
93,[-0.99960697]
94,[-0.99880695]
95,[-0.99920696]
96,[-0.99960697]
97,[-0.99880695]
98,[-0.99920696]
99,[-0.99960697]
