EpisodeNumber,FinalReward
0,[-1.00028]
1,[0.96646667]
2,[-1.000279]
3,[-1.000279]
4,[-1.000279]
5,[-1.0002806]
6,[-0.5905349]
7,[2.0135174]
8,[0.9712666]
9,[-0.02928018]
10,[-1.000279]
11,[-1.000279]
12,[-1.000014]
13,[-0.48880368]
14,[-0.15860789]
15,[-0.9148013]
16,[-0.11461016]
17,[0.7310451]
18,[-0.31754184]
19,[1.8355986]
20,[-1.000279]
21,[-0.17760734]
22,[-0.15354134]
23,[-0.7248002]
24,[-1.000279]
25,[-0.20820993]
26,[-1.0002806]
27,[1.8326652]
28,[-1.0264667]
29,[-0.8527341]
30,[-1.000279]
31,[-1.000014]
32,[0.9504667]
33,[-0.16074258]
34,[1.7155972]
35,[-1.0002806]
36,[1.3689215]
37,[-0.02981286]
38,[1.845998]
39,[-1.000279]
40,[-0.16127585]
41,[-1.0496666]
42,[-1.000279]
43,[-1.000279]
44,[0.722271]
45,[-0.13200867]
46,[-1.000279]
47,[-0.43853658]
48,[0.96646667]
49,[-0.5550007]
50,[-1.000279]
51,[-0.03727838]
52,[-0.07647759]
53,[-0.07674427]
54,[0.87580013]
55,[-1.000279]
56,[1.6947972]
57,[-0.02954518]
58,[-0.0810108]
59,[-1.000279]
60,[-0.59940153]
61,[-0.03407845]
62,[-0.28180957]
63,[-1.0454]
64,[-1.000279]
65,[0.96353334]
66,[-1.000279]
67,[0.8320669]
68,[-1.000279]
69,[-1.000014]
70,[-1.000279]
71,[-0.3127416]
72,[0.9640666]
73,[1.683599]
74,[-0.58080864]
75,[-1.000014]
76,[-0.03434512]
77,[0.8302002]
78,[-1.0002806]
79,[-1.0002791]
80,[-1.0462]
81,[-1.000279]
82,[-1.000279]
83,[-0.03407845]
84,[-1.000014]
85,[1.2803924]
86,[-1.000279]
87,[-1.000279]
88,[-0.03381178]
89,[-1.000279]
90,[-1.0454]
91,[-1.000279]
92,[-0.08421241]
93,[0.92273337]
94,[-1.0002806]
95,[1.0012454]
96,[-0.02927851]
97,[-1.000279]
98,[-1.000279]
99,[1.7811971]
