EpisodeNumber,FinalReward
0,[-0.999479]
1,[-0.99974567]
2,[-1.0000123]
3,[0.5333967]
4,[-0.999479]
5,[-0.99974567]
6,[-0.58394635]
7,[-1.0000123]
8,[-0.999479]
9,[-0.99974567]
10,[-1.0000123]
11,[-0.525012]
12,[-0.999479]
13,[-0.99974567]
14,[-0.49407816]
15,[-0.99974567]
16,[-1.2029997]
17,[-0.999479]
18,[-0.99974567]
19,[-1.0000123]
20,[-0.999479]
21,[-0.99974567]
22,[-1.0000123]
23,[-1.1949998]
24,[-0.84940076]
25,[-0.999479]
26,[-0.99974567]
27,[-0.99974734]
28,[-1.0000123]
29,[-0.999479]
30,[-0.99974567]
31,[-1.0000123]
32,[-0.99948066]
33,[-0.99974585]
34,[-0.28900802]
35,[-0.999479]
36,[-0.99974567]
37,[-0.33860886]
38,[-0.99948066]
39,[-1.2846003]
40,[-0.999479]
41,[-0.7964841]
42,[-0.99974567]
43,[-0.08554408]
44,[-0.27380776]
45,[-0.57073516]
46,[-1.0000123]
47,[-0.999479]
48,[-0.7058151]
49,[-0.999479]
50,[-1.8736769]
51,[-0.99974567]
52,[-1.0000123]
53,[-0.999479]
54,[-0.99974567]
55,[-1.1837997]
56,[-0.999479]
57,[-0.99974567]
58,[-1.0000123]
59,[-0.999479]
60,[0.3574497]
61,[-1.0000123]
62,[-0.99948066]
63,[-0.99974567]
64,[-1.5398046]
65,[-0.999479]
66,[-0.42261028]
67,[-0.82768524]
68,[-0.99974567]
69,[-1.0000123]
70,[-0.24948181]
71,[-0.9997361]
72,[-1.0000123]
73,[-0.999479]
74,[-0.99974567]
75,[-1.2059331]
76,[-1.3848686]
77,[-0.99974567]
78,[-1.0000123]
79,[0.5843309]
80,[-1.5675384]
81,[-0.6333345]
82,[-0.99974734]
83,[-0.37940955]
84,[-0.999479]
85,[-0.99974734]
86,[0.65339875]
87,[-0.999479]
88,[-0.99974567]
89,[-1.0000123]
90,[-0.999479]
91,[-0.800751]
92,[-1.0000123]
93,[-0.999479]
94,[-0.99974567]
95,[-0.19407521]
96,[-0.3575425]
97,[-1.0000123]
98,[-0.999479]
99,[0.24592519]
